what,improvement_direction,date,value,recalc_here,comment,baseline_duration,target
KPI-542 Number of oogles boogled,decrease,31/05/2021,102,,,,110
KPI-542 Number of oogles boogled,decrease,30/06/2021,104,,,,110
KPI-542 Number of oogles boogled,decrease,31/07/2021,108,,,,110
KPI-542 Number of oogles boogled,decrease,31/08/2021,112,,,,110
KPI-542 Number of oogles boogled,decrease,30/09/2021,116,,,,110
KPI-542 Number of oogles boogled,decrease,31/10/2021,121,,,,110
KPI-542 Number of oogles boogled,decrease,30/11/2021,131,,,,110
KPI-542 Number of oogles boogled,decrease,31/12/2021,57,,,,110
KPI-542 Number of oogles boogled,decrease,31/01/2022,50,,,,110
KPI-542 Number of oogles boogled,decrease,28/02/2022,116,,,,110
KPI-542 Number of oogles boogled,decrease,31/03/2022,113,,,,110
KPI-542 Number of oogles boogled,decrease,30/04/2022,116,,,,110
KPI-542 Number of oogles boogled,decrease,31/05/2022,118,,,,110
KPI-542 Number of oogles boogled,decrease,30/06/2022,121,,,,110
KPI-542 Number of oogles boogled,decrease,31/07/2022,128,,,,110
KPI-542 Number of oogles boogled,decrease,31/08/2022,118,,,,110
KPI-542 Number of oogles boogled,decrease,30/09/2022,114,,,,110
KPI-542 Number of oogles boogled,decrease,31/10/2022,111,,,,110
KPI-542 Number of oogles boogled,decrease,30/11/2022,107,,,,110
KPI-542 Number of oogles boogled,decrease,31/12/2022,104,,,,110
KPI-542 Number of oogles boogled,decrease,31/01/2023,103,,,,110
KPI-542 Number of oogles boogled,decrease,28/02/2023,101,,,,110
KPI-542 Number of oogles boogled,decrease,31/03/2023,100,,,,110
KPI-542 Number of oogles boogled,decrease,30/04/2023,99,,,,110
KPI-542 Number of oogles boogled,decrease,31/05/2023,93,,,,110
